Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Tesla inc,TSLA,"",3430778.0,1471838000.0,8.7479,8.2732,1,-130962.0,-3.676911,reduction,0.3675019,Q4 2016,CONSUMER DISCRETIONARY,13F,09/30/2020,15.8,661.77
Invitae corp,NVTA,"",27303139.0,1070556080.19,6.36288,7.1358,2,-451600.0,-1.62711,reduction,20.6800652,,HEALTH CARE,13G,10/31/2020,,47.07
Square inc,SQ,"",5829902.0,947651000.0,5.63239,6.8125,3,-205854.0,-3.410575,reduction,1.3144272,Q4 2016,FINANCE,13F,09/30/2020,65.19,228.28
Roku inc,ROKU,"",3954611.0,746631000.0,4.43762,4.1649,4,631631.0,19.007969,addition,3.1710980,Q2 2019,INFORMATION TECHNOLOGY,13F,09/30/2020,121.7709,356.99
Crispr therapeutics ag,CRSP,"",8457320.0,707370000.0,4.20427,5.1245,5,1974069.0,30.448752,addition,12.0522753,Q2 2017,HEALTH CARE,13F,09/30/2020,61.1561,168.5
Zillow group inc class c,Z,"",4901109.0,497904000.0,2.9593,,6,4901109.0,,new,2.1592119,Q3 2020,COMMUNICATIONS,13F,09/30/2020,101.59,138.64
Pure storage inc,PSTG,"",29275294.0,471332233.4,2.80137,2.336,7,3681910.0,14.386179,addition,10.9149233,,INFORMATION TECHNOLOGY,13G,10/31/2020,,23.98
2u  inc,TWOU,"",13238782.0,448265000.0,2.66427,3.9293,8,3614768.0,37.559879,addition,20.5559301,Q4 2016,CONSUMER DISCRETIONARY,13F,09/30/2020,29.2002,41.99
Teladoc health inc,TDOC,"",2012786.0,441283000.0,2.62278,0.2724,9,1880057.0,1416.462868,addition,2.4262770,Q3 2017,HEALTH CARE,13F,09/30/2020,208.7076,207.95
Lendingtree inc,TREE,"",1347905.0,413659000.0,2.45859,2.9294,10,407211.0,43.288359,addition,10.2774599,Q4 2016,FINANCE,13F,09/30/2020,276.8248,277.45
Proto labs inc,PRLB,"",3094035.0,400678000.0,2.38144,2.6811,11,877629.0,39.596942,addition,11.5853014,Q4 2016,CONSUMER DISCRETIONARY,13F,09/30/2020,105.0797,172.55
Slack technologies inc,WORK,"",14044461.0,377234000.0,2.2421,1.581,12,9316364.0,197.042573,addition,2.4616749,Q2 2020,INFORMATION TECHNOLOGY,13F,09/30/2020,28.284,42.65
Seres therapeutics inc,MCRB,"",12293033.0,348016000.0,2.06844,0.6389,13,-185901.0,-1.489719,reduction,13.7671456,Q4 2016,HEALTH CARE,13F,09/30/2020,5.96,24.28
Illumina inc,ILMN,"",978663.0,302485000.0,1.79783,3.6987,14,50126.0,5.398385,addition,0.6686667,Q4 2016,HEALTH CARE,13F,09/30/2020,277.6753,367.29
Editas medicine inc,EDIT,"",10670424.0,299412000.0,1.77956,2.4008,15,3124278.0,41.4023,addition,17.1357638,Q1 2017,HEALTH CARE,13F,09/30/2020,27.4377,83.53
Pagerduty inc,PD,"",10620814.0,287930000.0,1.71132,1.6002,16,5422353.0,104.30689,addition,13.3706696,Q1 2020,INFORMATION TECHNOLOGY,13F,09/30/2020,25.0641,46.06
Compugen ltd,CGEN,"",17672228.0,287174000.0,1.70683,2.2776,17,3573805.0,25.34897,addition,21.3705751,Q4 2016,HEALTH CARE,13F,09/30/2020,8.9823,13.13
Spotify technology sa,SPOT,"",1124066.0,272665000.0,1.62059,1.1251,18,718914.0,177.443034,addition,0.6000277,Q2 2018,COMMUNICATIONS,13F,09/30/2020,242.9016,328.39
Iovance biotherapeutics inc,IOVA,"",7903308.0,260177000.0,1.54637,1.2504,19,3668035.0,86.606814,addition,5.3968415,Q1 2018,HEALTH CARE,13F,09/30/2020,28.5097,49.55
Pinterest inc,PINS,"",6040263.0,250731000.0,1.49023,1.8034,20,-1522692.0,-20.133559,reduction,1.0057870,Q3 2019,COMMUNICATIONS,13F,09/30/2020,18.01,71.04
Twist bioscience corp,TWST,"",3160478.0,240102000.0,1.42705,0.8008,21,1516988.0,92.302843,addition,7.0762827,Q2 2019,HEALTH CARE,13F,09/30/2020,56.3811,164.04
Splunk inc,SPLK,"",1271655.0,239236000.0,1.4219,2.0957,22,291031.0,29.678144,addition,0.7928322,Q4 2016,INFORMATION TECHNOLOGY,13F,09/30/2020,137.9288,180.2
Materialise nv adr,MTLS,"",6319679.0,233259000.0,1.38638,1.1552,23,1558800.0,32.741853,addition,11.8852366,Q4 2016,INFORMATION TECHNOLOGY,13F,09/30/2020,21.5946,56.41
Veracyte inc,VCYT,"",7018770.0,228040000.0,1.35536,1.4106,24,1954977.0,38.606969,addition,12.2103266,Q4 2016,HEALTH CARE,13F,09/30/2020,20.8239,55.8
Intellia therapeutics inc,NTLA,"",11404752.0,226726000.0,1.34755,2.5781,25,1373.0,0.01204,addition,19.4154460,Q4 2016,HEALTH CARE,13F,09/30/2020,19.54,62.14
Twilio inc,TWLO,"",866707.0,214155000.0,1.27284,0.3032,26,738212.0,574.506401,addition,0.6055200,Q4 2018,INFORMATION TECHNOLOGY,13F,09/30/2020,225.1925,362.88
Taiwan semiconductor manufacturing co ltd adr,TSM,"",2618632.0,212292000.0,1.26176,0.0641,27,2513677.0,2395.004526,addition,0.0504935,Q1 2018,INFORMATION TECHNOLOGY,13F,09/30/2020,79.6456,105.97
Pacific biosciences of california  inc.,PACB,"",19844780.0,195868000.0,1.16415,0.3054,28,11613288.0,141.083633,addition,11.2273868,Q3 2019,HEALTH CARE,13F,09/30/2020,7.2817,27.13
Xilinx  inc,XLNX,"",1848208.0,192657000.0,1.14506,2.2111,29,-241218.0,-11.544702,reduction,0.7564888,Q4 2016,INFORMATION TECHNOLOGY,13F,09/30/2020,95.08,141.99
Facebook inc,FB,"",729778.0,191129000.0,1.13598,0.4162,30,559367.0,328.245829,addition,0.0256169,Q2 2019,COMMUNICATIONS,13F,09/30/2020,253.4446,267.4
Cerus corp.,CERS,"",30000071.0,187800000.0,1.11619,1.5446,31,8241636.0,37.87789,addition,18.0536988,Q4 2016,HEALTH CARE,13F,09/30/2020,5.6363,8.07
Huya inc,HUYA,"",7834947.0,187647000.0,1.11528,0.3626,32,6029393.0,333.9359,addition,3.5227271,Q1 2020,INFORMATION TECHNOLOGY,13F,09/30/2020,22.6111,18.91
Nanostring technologies inc,NSTG,"",3822106.0,170848000.0,1.01544,1.1001,33,337295.0,9.679004,addition,10.0618704,Q4 2016,HEALTH CARE,13F,09/30/2020,17.2563,72.72
Docusign inc,DOCU,"",752146.0,161892000.0,0.962209,0.0308,34,735504.0,4419.564956,addition,0.4062034,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2020,212.5364,244.93
Sea ltd adr,SE,"",1004874.0,154791000.0,0.920004,0.2796,35,762438.0,314.490422,addition,0.2060274,Q4 2019,INFORMATION TECHNOLOGY,13F,09/30/2020,128.4906,193.18
Stratasys ltd,SSYS,"",12070385.0,150518000.0,0.894607,1.9259,36,780340.0,6.911753,addition,21.9341904,Q4 2016,INFORMATION TECHNOLOGY,13F,09/30/2020,18.7836,21.61
Tencent holdings ltd adr,TCEHY,"",2217845.0,150037000.0,0.891748,0.6026,37,1342451.0,153.353918,addition,0.0231458,Q3 2017,COMMUNICATIONS,13F,09/30/2020,62.1044,69.75
Zscaler inc,ZS,"",1030864.0,145032000.0,0.862001,0.92,38,249725.0,31.969342,addition,0.7756320,Q4 2019,INFORMATION TECHNOLOGY,13F,09/30/2020,110.3875,205.27
