Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Apple inc,AAPL,"",1069771045.0,123890183000.0,4.55685,4.0109,1,-32053003.0,-2.909085,reduction,6.1703297,Q3 2007,INFORMATION TECHNOLOGY,13F,09/30/2020,8.92,127.14
Microsoft corp.,MSFT,"",516065148.0,108543983000.0,3.99239,4.2389,2,-5776485.0,-1.106942,reduction,6.8258108,Q3 2007,INFORMATION TECHNOLOGY,13F,09/30/2020,69.92,212.65
Amazon.com inc.,AMZN,"",27661214.0,87097695000.0,3.20357,3.0743,3,-256943.0,-0.920344,reduction,5.5129345,Q4 2008,CONSUMER DISCRETIONARY,13F,09/30/2020,1011.93,3104.25
Facebook inc,FB,"",158351360.0,41472219000.0,1.5254,1.4617,4,-2922073.0,-1.811875,reduction,6.5870801,Q2 2012,COMMUNICATIONS,13F,09/30/2020,146.94,251.36
Alphabet inc. class a,GOOGL,"",20386855.0,29878973000.0,1.09899,1.164,5,-179001.0,-0.87038,reduction,6.7810655,Q3 2007,COMMUNICATIONS,13F,09/30/2020,875.19,1727.62
Alphabet inc. class c,GOOG,"",20032538.0,29439816000.0,1.08284,1.1474,6,-303015.0,-1.490075,reduction,6.0729097,Q2 2014,COMMUNICATIONS,13F,09/30/2020,855.58,1736.19
Johnson & johnson co.,JNJ,"",193748779.0,28845318000.0,1.06097,1.0874,7,34735.0,0.017931,addition,7.3597583,Q3 2007,HEALTH CARE,13F,09/30/2020,124.6144,160.3
Alibaba group holding ltd adr,BABA,"",89129456.0,26202277000.0,0.963755,0.7833,8,-1845024.0,-2.028068,reduction,3.2942139,Q3 2014,COMMUNICATIONS,13F,09/30/2020,139.83,243.46
Visa inc,V,"",127409317.0,25478039000.0,0.937117,0.9736,9,1130933.0,0.895587,addition,7.5137739,Q2 2008,FINANCE,13F,09/30/2020,96.239,201.59
Berkshire hathaway inc class b,BRK.B,"",113019912.0,24066460000.0,0.885197,0.7991,10,872064.0,0.777602,addition,8.2439015,Q3 2007,FINANCE,13F,09/30/2020,169.2299,233.49
Nvidia corp.,NVDA,"",43968050.0,23796388000.0,0.875263,0.6612,11,365130.0,0.837398,addition,7.1030775,Q3 2007,INFORMATION TECHNOLOGY,13F,09/30/2020,136.4495,514.38
Unitedhealth group inc.,UNH,"",73223633.0,22828933000.0,0.839679,0.8635,12,-123829.0,-0.168825,reduction,7.7173308,Q4 2008,HEALTH CARE,13F,09/30/2020,172.65,351.3
Mastercard inc,MA,"",67051628.0,22674849000.0,0.834012,0.793,13,-137809.0,-0.205105,reduction,6.7833721,Q3 2007,FINANCE,13F,09/30/2020,124.0,323.26
Procter & gamble co. (oh) (1905),PG,"",162697093.0,22613270000.0,0.831747,0.7857,14,-1929756.0,-1.1722,reduction,6.5614094,Q3 2007,CONSUMER STAPLES,13F,09/30/2020,89.92,134.78
Home depot  inc. (the),HD,"",72511974.0,20137298000.0,0.740677,0.7255,15,-42040.0,-0.057943,reduction,6.7352704,Q3 2007,CONSUMER DISCRETIONARY,13F,09/30/2020,149.3,275.59
Ishares core s&p 500 etf,IVV,"",55604281.0,18686374000.0,0.68731,0.6747,16,1020868.0,1.87029,addition,No Data,Q4 2009,FINANCE,13F,09/30/2020,233.9399,377.1
Jpmorgan chase & co. (chemical bank),JPM,"",194072559.0,18683367000.0,0.6872,0.7414,17,-3414031.0,-1.728741,reduction,6.3667858,Q3 2007,FINANCE,13F,09/30/2020,87.14,138.64
Adobe systems  inc.,ADBE,"",37012598.0,18152086000.0,0.667658,0.6615,18,-1056924.0,-2.7763,reduction,7.7154750,Q3 2007,INFORMATION TECHNOLOGY,13F,09/30/2020,162.88,458.08
Verizon communications (bell atlantic corp.),VZ,"",300991299.0,17905972000.0,0.658606,0.6823,19,-9056843.0,-2.921109,reduction,7.2736693,Q3 2007,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2020,49.83,57.38
Intel corp.,INTC,"",320571576.0,16599197000.0,0.610541,0.7456,20,8344598.0,2.672606,addition,7.8226348,Q3 2007,INFORMATION TECHNOLOGY,13F,09/30/2020,37.638,57.58
Merck & co,MRK,"",196888895.0,16331932000.0,0.600711,0.6098,21,-669398.0,-0.338836,reduction,7.7820638,Q3 2007,HEALTH CARE,13F,09/30/2020,65.12,83.38
Tesla inc,TSLA,"",38019526.0,16310756000.0,0.599932,0.3327,22,-579314.0,-1.500859,reduction,4.0109185,Q3 2010,CONSUMER DISCRETIONARY,13F,09/30/2020,14.24,826.16
