Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Spdr s&p 500 etf trust,SPY,"",72695071.0,24161661000.0,4.04358,4.0455,1,4714869.0,6.93565,addition,No Data,Q1 2001,FINANCE,13F,09/30/2020,190.6444,375.7
Microsoft corp.,MSFT,"",71397438.0,14797835000.0,2.4765,2.9516,2,-3754267.0,-4.995585,reduction,0.9443486,Q1 2001,INFORMATION TECHNOLOGY,13F,09/30/2020,45.49,212.65
Apple inc,AAPL,"",124573247.0,14212560000.0,2.37855,2.2718,3,-4506353.0,-3.491143,reduction,0.7185257,Q1 2001,INFORMATION TECHNOLOGY,13F,09/30/2020,7.23,127.14
Amazon.com inc.,AMZN,"",3875361.0,12187545000.0,2.03965,2.0321,4,58537.0,1.533657,addition,0.7723671,Q1 2001,CONSUMER DISCRETIONARY,13F,09/30/2020,572.7862,3104.25
Spdr s&p 500 etf trust,SPY,PUT,28189800.0,9369444000.0,1.56803,0.7665,5,15308700.0,118.846217,addition,No Data,Q2 2008,FINANCE,13F,09/30/2020,,375.7
Spdr s&p 500 etf trust,SPY,CALL,25052200.0,8326600000.0,1.3935,0.4639,6,17256700.0,221.367456,addition,No Data,Q1 2009,FINANCE,13F,09/30/2020,,375.7
Vanguard total international bond index fund-etf shares,BNDX,"",122758326.0,7151286000.0,1.19681,1.4338,7,-5933928.0,-4.610944,reduction,No Data,Q2 2014,FINANCE,13F,09/30/2020,56.51,58.34
Alibaba group holding ltd adr,BABA,"",21142316.0,5854939000.0,0.979855,1.1606,8,-6737872.0,-24.16724,reduction,0.7814174,Q3 2014,COMMUNICATIONS,13F,09/30/2020,134.67,243.46
Mastercard inc,MA,"",15422569.0,5185528000.0,0.867826,0.8437,9,637124.0,4.30913,addition,1.5602458,Q2 2006,FINANCE,13F,09/30/2020,115.1886,323.26
Taiwan semiconductor manufacturing co ltd adr,TSM,"",63527184.0,5114577000.0,0.855952,0.8044,10,-9893813.0,-13.475454,reduction,1.2249567,Q1 2001,INFORMATION TECHNOLOGY,13F,09/30/2020,24.9,125.23
