Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Amazon.com inc.,AMZN,"",4875392.0,15351296000.0,2.91781,2.8191,1,258869.0,5.607445,addition,0.9733465,Q1 2001,CONSUMER DISCRETIONARY,13F,09/30/2020,571.62,3172.69
Apple inc,AAPL,"",124613848.0,14431530000.0,2.74299,2.6253,2,-5436920.0,-4.180614,reduction,0.7187599,Q1 2001,INFORMATION TECHNOLOGY,13F,09/30/2020,7.94,131.97
Microsoft corp.,MSFT,"",60234432.0,12669109000.0,2.40801,2.6579,3,1231345.0,2.086916,addition,0.7959460,Q1 2001,INFORMATION TECHNOLOGY,13F,09/30/2020,50.1332,222.75
Spdr s&p 500 etf trust,SPY,"",28958967.0,9698069000.0,1.84331,2.4504,4,-6942526.0,-19.337708,reduction,No Data,Q1 2001,FINANCE,13F,09/30/2020,243.37,369.0
Zoom video communications inc,ZM,"",14460950.0,6798238000.0,1.29214,0.8504,5,-692957.0,-4.572794,reduction,5.0843472,Q2 2019,INFORMATION TECHNOLOGY,13F,09/30/2020,142.41,375.17
Visa inc,V,"",33936061.0,6786197000.0,1.28985,1.3665,6,1975972.0,6.182624,addition,1.5948406,Q2 2008,FINANCE,13F,09/30/2020,54.2399,208.7
Iqiyi inc,IQ,"",226551917.0,6110105201.49,1.16134,0.1253,7,197867896.0,689.819241,addition,30.8803100,,COMMUNICATIONS,13G,11/09/2020,,17.44
Alibaba group holding ltd adr,BABA,"",20418211.0,6002544000.0,1.1409,0.9065,8,1431788.0,7.541115,addition,0.7546546,Q3 2014,COMMUNICATIONS,13F,09/30/2020,158.9619,222.0
Square inc,SQ,"",35100493.0,5705586000.0,1.08446,0.8175,9,-94407.0,-0.268241,reduction,7.9138626,Q4 2015,FINANCE,13F,09/30/2020,84.22,228.28
Facebook inc,FB,"",21019784.0,5505081000.0,1.04635,1.0013,10,1098694.0,5.51523,addition,0.7378429,Q2 2012,COMMUNICATIONS,13F,09/30/2020,102.814,267.4
Shopify inc,SHOP,"",5093407.0,5210402000.0,0.990338,1.1579,11,-417836.0,-7.58152,reduction,4.6340150,Q2 2015,COMMUNICATIONS,13F,09/30/2020,318.44,1225.52
Mastercard inc,MA,"",14937228.0,5051323000.0,0.960102,0.9182,12,908871.0,6.478813,addition,1.4921398,Q2 2006,FINANCE,13F,09/30/2020,97.709,336.0
Invesco qqq trust series 1,QQQ,"",16506838.0,4586261000.0,0.871708,0.6835,13,4035330.0,32.356392,addition,No Data,Q1 2001,FINANCE,13F,09/30/2020,195.8039,309.56
Spotify technology sa,SPOT,"",17940708.0,4351879000.0,0.827159,0.9936,14,555409.0,3.194705,addition,9.5767706,Q2 2018,COMMUNICATIONS,13F,09/30/2020,153.6507,328.39
Procter & gamble co. (oh) (1905),PG,"",30380311.0,4222562000.0,0.80258,0.7829,15,799059.0,2.701235,addition,1.2202783,Q1 2001,CONSUMER STAPLES,13F,09/30/2020,99.4286,137.72
Intuitive surgical inc,ISRG,"",5858327.0,4156720000.0,0.790066,0.575,16,1299622.0,28.508579,addition,5.0060098,Q1 2001,HEALTH CARE,13F,09/30/2020,518.7823,807.0
Veeva systems inc,VEEV,"",14610971.0,4108459000.0,0.780893,0.7301,17,539396.0,3.833231,addition,9.6872761,Q4 2013,INFORMATION TECHNOLOGY,13F,09/30/2020,106.5446,287.58
Ishares russell 1000 growth etf,IWF,"",18818659.0,4081579000.0,0.775784,0.8124,18,-303175.0,-1.585491,reduction,No Data,Q4 2003,FINANCE,13F,09/30/2020,120.91,239.27
Alphabet inc. class a,GOOGL,"",2573943.0,3772374000.0,0.717013,0.7893,19,59412.0,2.362747,addition,0.3784300,Q3 2004,COMMUNICATIONS,13F,09/30/2020,676.5239,1734.16
Uber technologies inc,UBER,"",101457585.0,3701172000.0,0.70348,0.598,20,14536394.0,16.723648,addition,5.7889012,Q2 2019,CONSUMER DISCRETIONARY,13F,09/30/2020,33.7813,52.88
Tal education group american depositary adr,TAL,"",48272212.0,3670617000.0,0.697672,0.6179,21,7450639.0,18.25172,addition,8.0401799,Q4 2010,CONSUMER DISCRETIONARY,13F,09/30/2020,31.1273,69.71
Jpmorgan chase & co. (chemical bank),JPM,"",37162754.0,3577658000.0,0.680004,0.784,22,-495508.0,-1.315802,reduction,1.2194087,Q1 2001,FINANCE,13F,09/30/2020,64.11,124.52
Walt disney co. (the),DIS,"",28816319.0,3575528000.0,0.679599,0.6274,23,3397905.0,13.367888,addition,1.5946491,Q1 2001,COMMUNICATIONS,13F,09/30/2020,101.4898,173.73
Philip morris international inc,PM,"",47120073.0,3533537000.0,0.671618,0.7071,24,1526001.0,3.346929,addition,3.0257789,Q2 2008,CONSUMER STAPLES,13F,09/30/2020,80.2635,82.51
Servicenow inc,NOW,"",7221477.0,3502416000.0,0.665702,0.618,25,328738.0,4.769338,addition,3.7650883,Q3 2012,INFORMATION TECHNOLOGY,13F,09/30/2020,173.3058,553.89
