Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Apple inc,AAPL,"",1280669129.0,148314292000.0,4.91315,4.2569,1,-35291871.0,-2.681833,reduction,7.3867683,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2020,1.45,127.14
Microsoft corp.,MSFT,"",622689597.0,130970303000.0,4.3386,4.5621,2,-9323658.0,-1.475231,reduction,8.2360946,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2020,45.58,212.65
Amazon.com inc.,AMZN,"",32783886.0,103227604000.0,3.41958,3.2266,3,-190145.0,-0.576651,reduction,6.5338931,Q2 2002,CONSUMER DISCRETIONARY,13F,09/30/2020,530.89,3104.25
Facebook inc,FB,"",185310879.0,48532919000.0,1.60773,1.5153,4,-2829119.0,-1.503731,reduction,7.7085387,Q2 2012,COMMUNICATIONS,13F,09/30/2020,82.49,251.36
Johnson & johnson co.,JNJ,"",228984610.0,34091228000.0,1.12933,1.156,5,-2762898.0,-1.192202,reduction,8.6982298,Q2 2002,HEALTH CARE,13F,09/30/2020,83.74,160.3
Alphabet inc. class a,GOOGL,"",23117687.0,33881283000.0,1.12237,1.1753,6,-249389.0,-1.067267,reduction,7.6893935,Q3 2004,COMMUNICATIONS,13F,09/30/2020,499.36,1727.62
Alphabet inc. class c,GOOG,"",22204175.0,32631256000.0,1.08096,1.135,7,-432814.0,-1.911977,reduction,6.7312465,Q2 2014,COMMUNICATIONS,13F,09/30/2020,670.57,1736.19
Procter & gamble co. (oh) (1905),PG,"",220471433.0,30643326000.0,1.01511,0.9463,8,-2647470.0,-1.186574,reduction,8.8913901,Q2 2002,CONSUMER STAPLES,13F,09/30/2020,71.37,134.78
Berkshire hathaway inc class b,BRK.B,"",141358032.0,30100779000.0,0.997137,0.8947,9,46959.0,0.033231,addition,10.3109415,Q2 2002,FINANCE,13F,09/30/2020,125.719,233.49
Visa inc,V,"",145246620.0,29044968000.0,0.962161,1.0087,10,-1973151.0,-1.340276,reduction,8.5657021,Q2 2008,FINANCE,13F,09/30/2020,70.75,201.59
Nvidia corp.,NVDA,"",48498024.0,26248102000.0,0.86951,0.6605,11,-520947.0,-1.062746,reduction,7.8348989,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2020,68.66,514.38
Home depot  inc. (the),HD,"",90546232.0,25145595000.0,0.832988,0.8134,12,-1001395.0,-1.093851,reduction,8.4103814,Q2 2002,CONSUMER DISCRETIONARY,13F,09/30/2020,72.34,275.59
Unitedhealth group inc.,UNH,"",79780738.0,24873240000.0,0.823966,0.8445,13,-946402.0,-1.172347,reduction,8.4084103,Q2 2002,HEALTH CARE,13F,09/30/2020,108.92,351.3
Mastercard inc,MA,"",71813941.0,24285320000.0,0.80449,0.7649,14,-1110890.0,-1.523336,reduction,7.2651581,Q2 2006,FINANCE,13F,09/30/2020,88.22,323.26
Jpmorgan chase & co. (chemical bank),JPM,"",242564327.0,23351669000.0,0.773561,0.7741,15,10541436.0,4.543274,addition,7.9576171,Q2 2002,FINANCE,13F,09/30/2020,51.4369,138.64
Verizon communications (bell atlantic corp.),VZ,"",328950016.0,19569236000.0,0.648262,0.6515,16,-4227023.0,-1.268702,reduction,7.9493116,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2020,44.48,57.38
Adobe systems  inc.,ADBE,"",38849222.0,19052824000.0,0.631155,0.6106,17,-696554.0,-1.761387,reduction,8.0983291,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2020,77.54,458.08
Walmart inc,WMT,"",133071520.0,18618036000.0,0.616752,0.5749,18,-2237023.0,-1.653276,reduction,4.7033606,Q2 2002,CONSUMER STAPLES,13F,09/30/2020,68.33,144.64
Paypal holdings inc,PYPL,"",94435622.0,18606651000.0,0.616375,0.5916,19,-1300661.0,-1.358587,reduction,8.0597663,Q3 2015,COMMUNICATIONS,13F,09/30/2020,43.74,239.79
Tesla inc,TSLA,"",43281548.0,18568217000.0,0.615102,0.3391,20,-982637.0,-2.219937,reduction,4.5660423,Q3 2010,CONSUMER DISCRETIONARY,13F,09/30/2020,9.06,826.16
Alibaba group holding ltd adr,BABA,"",62523304.0,18380601000.0,0.608887,0.4878,21,-1239639.0,-1.944137,reduction,2.3108537,Q4 2015,COMMUNICATIONS,13F,09/30/2020,171.5,243.46
Intel corp.,INTC,"",352726707.0,18264188000.0,0.605031,0.7558,22,-3412822.0,-0.958282,reduction,8.6072891,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2020,26.56,57.58
Walt disney co. (the),DIS,"",146727288.0,18205922000.0,0.6031,0.5876,23,-1847612.0,-1.243556,reduction,8.1043082,Q2 2002,COMMUNICATIONS,13F,09/30/2020,67.02,171.44
Comcast corp.  class a,CMCSA,"",390444013.0,18061940000.0,0.598331,0.5512,24,-8259937.0,-2.071697,reduction,8.5513443,Q4 2002,COMMUNICATIONS,13F,09/30/2020,26.94,48.69
Salesforce.com inc.,CRM,"",70986051.0,17840215000.0,0.590986,0.4733,25,-246366.0,-0.345862,reduction,7.7349224,Q3 2004,INFORMATION TECHNOLOGY,13F,09/30/2020,81.75,213.14
Merck & co,MRK,"",209865924.0,17408377000.0,0.57668,0.5836,26,-2918763.0,-1.371698,reduction,8.2949829,Q2 2002,HEALTH CARE,13F,09/30/2020,48.49,83.38
Pepsico inc. (loft  inc.),PEP,"",122530511.0,16982730000.0,0.56258,0.5843,27,-2028988.0,-1.628931,reduction,8.8664522,Q2 2002,CONSUMER STAPLES,13F,09/30/2020,78.26,141.39
Netflix inc,NFLX,"",33583091.0,16792553000.0,0.55628,0.5488,28,-418193.0,-1.229933,reduction,7.6015098,Q2 2002,COMMUNICATIONS,13F,09/30/2020,132.94,497.98
Pfizer  inc.,PFE,"",475433774.1,16554477000.0,0.548394,0.5299,29,-6132352.23,-1.273419,reduction,8.1152123,Q2 2002,HEALTH CARE,13F,09/30/2020,29.64,36.7
Abbott laboratories,ABT,"",148155501.0,16123764000.0,0.534126,0.4866,30,-1883336.0,-1.255232,reduction,8.3592142,Q2 2002,HEALTH CARE,13F,09/30/2020,38.71,111.3
At&t inc. (southwestern bell - sbc corp.),T,"",561173481.0,15999055000.0,0.529994,0.612,31,-9553321.0,-1.673887,reduction,7.8750138,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2020,33.43,29.17
Coca cola co.,KO,"",315699570.0,15586089000.0,0.516314,0.5113,32,-6905892.0,-2.140662,reduction,7.3462332,Q2 2002,CONSUMER STAPLES,13F,09/30/2020,27.1,48.7
Bank of america corp. (north carolina national bank),BAC,"",613530808.0,14779957000.0,0.48961,0.5269,33,-11983872.0,-1.915842,reduction,7.0921933,Q2 2002,FINANCE,13F,09/30/2020,20.19,33.01
Mcdonalds corp.,MCD,"",65430203.0,14361274000.0,0.47574,0.4332,34,-773266.0,-1.168014,reduction,8.7812694,Q2 2002,CONSUMER DISCRETIONARY,13F,09/30/2020,82.57,209.91
Thermo fisher scientific  inc.,TMO,"",31233795.0,13790345000.0,0.456827,0.4053,35,-302223.0,-0.958342,reduction,7.8806515,Q2 2002,HEALTH CARE,13F,09/30/2020,103.83,503.14
American tower corp.  class a,AMT,"",56368296.0,13625907000.0,0.45138,0.5263,36,-1021022.0,-1.779115,reduction,12.6894644,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2020,107.13,219.89
Costco co.,COST,"",37412602.0,13281475000.0,0.43997,0.408,37,-522209.0,-1.376596,reduction,8.4461362,Q2 2002,CONSUMER STAPLES,13F,09/30/2020,111.74,362.16
Cisco systems  inc.,CSCO,"",334105443.0,13160413000.0,0.43596,0.5611,38,-5096944.0,-1.502626,reduction,7.9068585,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2020,21.92,45.43
Nike inc.,NKE,"",104287704.0,13092278000.0,0.433703,0.3658,39,-882881.0,-0.839475,reduction,8.2020799,Q2 2002,CONSUMER DISCRETIONARY,13F,09/30/2020,43.25,140.72
Abbvie inc,ABBV,"",144334850.0,12642290000.0,0.418796,0.5133,40,-3051958.0,-2.070713,reduction,8.1754167,Q4 2012,HEALTH CARE,13F,09/30/2020,,110.52
Accenture plc,ACN,"",55861123.0,12624056000.0,0.418192,0.4311,41,-740133.0,-1.307626,reduction,8.4492747,Q2 2003,INFORMATION TECHNOLOGY,13F,09/30/2020,85.65,253.65
Broadcom ltd. (avago technologies),AVGO,"",33978878.0,12379186000.0,0.41008,0.3745,42,528280.0,1.579284,addition,8.3545075,Q3 2009,INFORMATION TECHNOLOGY,13F,09/30/2020,143.2808,445.85
Nextera energy inc.,NEE,"",177927476.0,12346388000.0,0.408994,0.382,43,-1422928.0,-0.793379,reduction,2.2705557,Q2 2002,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2020,26.03,82.04
Exxonmobil corp. (standard oil of new jersey),XOM,"",356280066.0,12231095000.0,0.405175,0.5743,44,-5786862.0,-1.598285,reduction,8.4262159,Q2 2002,ENERGY,13F,09/30/2020,70.59,47.89
Texas instruments  inc.,TXN,"",85437952.0,12199686000.0,0.404134,0.3902,45,-1213218.0,-1.400117,reduction,9.3075532,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2020,45.32,169.19
Amgen  inc.,AMGN,"",47937060.0,12183683000.0,0.403604,0.4088,46,-929108.0,-1.901332,reduction,8.2342227,Q2 2002,HEALTH CARE,13F,09/30/2020,90.11,245.49
Qualcomm inc.,QCOM,"",103491998.0,12178937000.0,0.403447,0.337,47,-674569.0,-0.647587,reduction,9.1504861,Q2 2002,INFORMATION TECHNOLOGY,13F,09/30/2020,52.79,157.09
Bristol-myers squibb co,BMY,"",200065592.0,12061953000.0,0.399572,0.4252,48,-3822794.0,-1.874944,reduction,8.8534332,Q2 2002,HEALTH CARE,13F,09/30/2020,48.35,66.54
Medtronic plc,MDT,"",111875583.0,11626110000.0,0.385134,0.3679,49,-1237067.0,-1.093659,reduction,8.3115843,Q2 2002,HEALTH CARE,13F,09/30/2020,63.54,116.81
